Cusip,Date,Prices
00030710,20150924,37.02
00030710,20150925,38.16
00030710,20150928,35.1
00030710,20150929,35.205
00030710,20150930,33.375
00030710,20151001,33.885
00030710,20151002,36.645
00030710,20151005,41.595
00030710,20151006,40.5
00030710,20151007,40.29
00030710,20151008,40.14
00030710,20151009,39.33
00030710,20151012,40.14
00030710,20151013,40.35
00030710,20151014,39.99
00030710,20151015,40.155
00030710,20151016,40.77
00030710,20151019,42.705
00030710,20151020,42.045
00030710,20151021,39.735
00030710,20151022,38.49
00030710,20151023,39.015
00030710,20151026,39.24
00030710,20151027,38.58
00030710,20151028,35.64
00030710,20151029,35.265
00030710,20151030,34.8
00030710,20151102,33.495
00030710,20151103,32.685
00030710,20151104,36.09
00030710,20151105,36.375
00030710,20151106,36.75
00030710,20151109,35.265
00030710,20151110,35.355
00030710,20151111,33.84
00030710,20151112,33.75
00030710,20151113,34.02
00030710,20151116,33.87
00030710,20151117,33.78
00030710,20151118,33.78
00030710,20151119,33.6
00030710,20151120,34.89
00030710,20151123,35.55
00030710,20151124,35.94
00030710,20151125,36.945
00030710,20151127,36.36
00030710,20151130,36.81
00030710,20151201,37.08
00030710,20151202,35.82
00030710,20151203,34.02
00030710,20151204,33.69
00030710,20151207,32.445
00030710,20151208,34.26
00030710,20151209,34.305
00030710,20151210,34.44
00030710,20151211,35.07
00030710,20151214,33.765
00030710,20151215,33.555
00030710,20151216,33.825
00030710,20151217,34.08
00030710,20151218,33.09
00030710,20151221,31.98
00030710,20151222,30.33
00030710,20151223,28.23
00030710,20151224,28.845
00030710,20151228,28.11
00030710,20151229,27.9
00030710,20151230,27.825
00030710,20151231,28.59
